question,answer
"What is Video KYC? How can I schedule it, and how long does it take to complete it?","This is an online method of face-to-face identity verification in which a KYC agent from Equitas Bank will carry out the verification process through a video call.  Click on “Pending Actions” (on top of the home screen) and click “Complete Now” (under “Complete Full KYC “) Click on “Start Video KYC” Read the instructions (such as to keep your PAN, a white paper, pen, etc with you) You will get connected to a KYC agent and you can get this completed within 5 mins. Once you complete the video call, the Equitas bank usually takes upto 2 working days (sometimes upto 3-4 working days) to verify your details and complete your KYC. "
Is collateral/security required for an instant personal loan from Moneyview?,"Moneyview instant loans are unsecured loans, hence you do not have to provide collateral or security of any sort."
What documents do I need to get an instant personal loan from moneyview?,Our documentation requirements are minimal. We will only require the following - -Your PAN number -Your mobile number will have to be linked to your Aadhaar card for KYC verification -Clear selfie taken in a well-lit area -Please note that we may require proof of address as well as a bank statement based on your profile.
What happens to my existing instant loan if I avail a top-up loan from moneyview?,"When you take a top-up loan, we generate a new loan account for you. This new instant loan account has the due amount of the existing loan along with the top up loan amount."
What are the applicable interest rates for my instant personal loan from moneyview?,"On your screen, you should be able to see a column called 'Monthly EMI'. That is the amount you will be paying each month. The Loan term column tells you the duration of the loan, and you will have to pay your 'Monthly EMI' every month for that duration. The interest column is for your information only, and specifies the entire interest you are paying on that loan amount in the entire duration. It is not related to the amount you will be paying."
Will there be a credit report inquiry when I apply for an instant loan from moneyview?,"Yes, there will be a credit report enquiry made whenever you avail an instant loan from moneyview. This enquiry will only be made after you submit the loan application."
Is there any way to contact a moneyview loan through a call?,You can contact our representatives through the options given below - You can send us an email to care@moneyview.in You can also contact us through the moneyview Loans App
I need quotation/ payment link. What should I do?,"Firstly create the lead, our team will get in touch with you. If the lead is already created, you may reach out to us on chat with the lead id and we will expedite this."
What documents do I need for an instant loan?,"We need your Aadhar Card, e-bank statement, selfie, current address proof for approval. In certain cases for additional verification, the team would require your salary slips too. You will be intimated about the same via email and also on the APP."
List of Address Proof documents,"We accept the following documents as valid proof of address: Aadhaar front + Aadhaar back, Passport Front + Passport Back, Voter ID Front + Voter ID Back, Rent Agreement + Landlords Electricity Bill, Mobile Postpaid Bill (not more than 3 months old), Last 3 months bank E-Statements, Landline Bill (not more than 3 months old), Gas bill (not more than 3 months old), Water bill (not more than 3 months old), Passbook (first page) + Latest Transactions in Passbook, Electricity Bill (not more than 3 months old)"
Issues while uploading documents,"If your document upload is failing, make sure: 1. That you have a working internet connection 2. If your internet connection is fine then there might be something wrong with our servers and you can please try uploading after 30 minute. If issue still persists try uninstalling the app and again re-install to get the upgraded version."
What is NACH and how is it used?,"The NACH form is used to authorize us to deduct the EMIs for your loan directly from your account. This way, you don’t have to remember to pay every month and we’ll just auto-debit it without any hassle"
Why was my application declined?,"The Loan Application to PaySense can be declined for a variety of reasons. Some of the major areas we check are 1. Monthly capacity for repayments 2. Current obligations in terms of other loans or expenses 3. Credit History 4. Valid Loan Documents 5. Valid Employment and Salary Details There are thousands of other parameters that are taken into consideration while calculating the eligibility of our customers. If we are unable to successfully establish the eligibility for a customer, they will be declined for a period of 60 days after which they may reapply again."
Docs collected/status not updated,"If you have signed and submitted all the documents to the courier and still there is no status changed in the APP after 48 hours of submission. There might be chances some documents are incorrect or incomplete, our courier will contact you again for the same. If you still have not received any communication please reach us on the app (Help center) or via support@gopaysense.com"
When will money get disbursed?,"After receiving the hard copy documents from your end, we do a manual verification of the details submitted by you. The whole process will take around 3-4 working days to disburse the amount. If you still have not received any communication please reach us on the app (Help center) or via support@gopaysense.com."
Cancel the loan amount,"If you have submitted a loan application on the app or website, you can cancel it by contacting us at support@gopaysense.com Once the loan amount has been received in your account, you can cancel it within 3 days without paying any foreclosure charges or interest on the amount as part of our ""Cooling off period"" policy. If more than 3 days have passed since receiving the loan amount, you can foreclose the loan by paying the applicable foreclosure charges and interest, as mentioned in your loan agreement."
Loan disbursal status,"After you sign your loan agreement, the loan amount will be disbursed to your bank account after verification of the details submitted by you. We will inform you about your loan disbursal through SMS, email and App. If you need more information about your loan disbursal status, please reach out to us by clicking ‘Contact us’ option."
I don’t have a credit (CIBIL) score. Will I get a loan?,No problem. We will use your banking data to generate you an offer.
How much time will it take for me to get the funds into my account?,"Money will be in your bank account within 2 hours, post document verification."
How much time will it take for me to get a loan approval?,You will get your loan approval in one minute flat once you provide all the necessary details.
What is the security I have to keep to get the loan?,There is (NO) security that you have to keep with us to get a loan.
What is the eligibility criteria to apply for credit with NIRA?,"To successfully apply for credit, you must be an Indian citizen and 21-55 years of age. Ideally, you’ve been working a minimum of 6 months and earn a salary of ₹12,000 or higher per month."
What are the required documents to apply?,"You’ll need your Aadhaar, PAN, and bank statements for the last 3 months. These can be submitted on NIRA's app via net-banking or PDF upload."
I do not have a CIBIL score,"If you don't have a CIBIL score and have not taken a loan before, you are still welcome to apply for credit with NIRA."
I do not have netbanking. How else can I provide the bank statements?,Netbanking is NOT mandatory. If you are having a hard time figuring out how to get your PDF bank statement you can write to us at NIRA Support and we’ll be happy to help you with it!
How long does it take for a loan application to be approved?,"You’ll know the in-principle approval of the app instantly, once your application is completed. The final approval will be given as soon as all the documents are uploaded and collected (if applicable to your application). You can expect to complete this step in 2-48 hours."
"Once approved, how long does it take for the money to come into my account?","After the final approval and completing the auto-debit setup, you can submit a draw request on your credit line any time, and the money will come into your account within 48 hours ( often, you’ll get in within 24 hours!).  The money will come into your account faster on subsequent draws. If you make a draw request over the weekend, the money will be credited to your account on the following Monday."
What is the GroMo Coins program?,"GroMo Coins is a specially designed program for loyal GroMo Partners like you who are looking to earn more rewards for their hard work. With this coin-based program, you will now earn GroMo Coins for every sale you make in addition to your regular sale earnings. That's not all; the program also provides several other ways for you  to earn GroMo Coins. These coins can be redeemed for extra earning and a variety of exciting rewards that are tailored as per your interests and preferences."
Can I convert my GroMo coins into Wallet Balance?,"No. You cannot directly transfer your GroMo coins into Wallet balance. However, on every successful sale, 10% of your GroMo coin balance will be converted into cash (with conversion of 100 Coins = 1 Rs) and cash will automatically be added to your wallet balance along with sale earnings.. For example if you have 20,000 balance in your  GroMo Coins, on your next sale you will be able to get additional Rs 20 along with the sale earnings.
Note - GroMo Coins are not redeemed on sale of Instant Deal Products"
Can I transfer my GroMo Coins to another GroMo Partner?,"No, GroMo Coins are not transferable to any other GroMo Partner."
Where can I check the summary of my GroMo Coins?,"Open your GroMo App and click on the Rewards Section on the App. Under the rewards section you will be able to see the current balance of your GroMo Coins. Just click on the GroMo Coins icon to check more details on options to earn coins, redeem coins and your coin transaction history. If you feel there is any  discrepancy with your GroMo Coins, do not hesitate to contact us at support@GroMo.in"
How long does it take to get GroMo Coins after sale is made?,We will add GroMo Coins to your balance as soon as we receive confirmation of sale from the bank. Usually we get updates from the bank on sale after 7-10 days of successful submission of application with the bank.
Do GroMo Coins expire if I don't use them?,"Yes, GroMo Coins will expire after 3 months from the date of allotment. Expiry always occurs at the end of the upcoming 3rd month"
Can I get an add-on card for Indian Oil Kotak Credit Card?,"Yes, you get a free add-on card with your primary card to extend the card benefits to anyone in your family. You can set the card limit and track spends on the add-on card easily. Note that the minimum age requirement for add-on card members to avail the Indian Oil Kotak Credit Card is 18 years."
What is the limit for contactless payments?,"Indian Oil Kotak Credit Card allows safe, secure and fast contactless payments with the Tap & Pay facility, for up to Rs. 5,000 per transaction."
How does the cashback redemption option works for this credit card?,"The cashback redemption option on the Indian Oil Kotak Credit Card is an Introductory Launch Offer for a limited period.  Via this redemption option, the Kotak Reward points are credited to the card statement in the form of cashback. You can avail the cashback redemption by calling Kotak Customer Care at 18602662666."
How can I apply online for LIC Signature Credit Card?,"You can apply online for this credit card through the official website of LIC Cards. All you need to do is look for this credit card and click on ‘Apply Now’.  After this, you will be redirected to the application page. You are required to submit the application form along with relevant documents to apply for this credit card."
Can I earn fuel surcharge waiver on every transaction via LIC Signature Credit Card?,"You can earn a fuel surcharge waiver of 1% on your fuel transactions between Rs. 400 to Rs. 4,000. This is applicable across all petrol pumps in India. However, you can earn a maximum waiver of Rs. 400 in a calendar month."
What is the forex markup fee charged on LIC Signature Credit Card?,"The foreign currency transaction fee charged on all the LIC credit cards is 3.5% of the transaction amount. Therefore, this is not an ideal option for international transactions. If you frequently travel abroad and are looking for an option to save on your foreign currency transactions, you can look for the best credit cards for international travel."
Can I get an add-on card with LIC Signature Credit Card?,"Yes, you can get up to three add-on cards with LIC Signature Credit Card. Also, just like the primary card, the add-on cards come with no joining and annual fees."
Can I withdraw cash using my LIC Signature Credit Card?,"Yes, you can withdraw cash using your Axis Bank LIC Signature Credit Card. However, a fee of 2.5% of the transaction amount or a minimum fee of Rs. 500 will be charged for withdrawing cash using your credit card. Therefore, it is advisable not to withdraw cash using your credit card as it incur higher charges."
How can Platinum customers redeem their accrued rewards points?,LIC Platinum credit card customers have to call the LIC credit card customer care desk to make a redemption request.
Can Platinum credit card holders set auto-debits on their bank accounts for making bill payments?,"Yes, customers can set the direct debit facility on their Axis Bank accounts to make payments for a LIC Platinum credit card."
Can Platinum customers register for LIC premium payments using their LIC credit cards?,"Yes, customers have to submit the filled-in LIC Premium Payment Registration Form to ensure that premium payments are done through their LIC Platinum credit cards."
Can customers track the status of an application made for a Platinum credit card?,"Yes, Platinum credit card applications can be tracked by entering the application ID on the LIC website."
What are the air-mile benefits applicable with my HSBC Credit Card?,Spends on your HSBC Credit Card accumulates reward points (see table above). These reward points can be redeemed as air-miles when you book plane tickets with Jet Airways or Singapore Airlines. Note that air-miles don’t apply to MMT Signature and Platinum cards.
What is ‘Free Credit Period’?,"This is the duration in which HSBC will not charge the card holder any interest on his/her purchases. For all HSBC credit cards, this duration is 52 days. Before this deadline is hit, the card holder is expected to repay the outstanding amount that has accumulated through the credit card usage in this duration. If full payment isn’t made, then the card holder loses the privilege of Free Credit Period."
What is the ‘Accelerated Rewards Programme’ in terms of the HSBC credit cards?,"This is a recognition and rewarding system that takes into account the card owner’s accelerated usage of his/her HSBC credit card(s). For HSBC Visa Platinum Card and HSBC Advance Visa Platinum Card, this equates to 5x reward points on every subsequent purchase after the card owner has spent above ₹4,00,000 upto ₹10,00,000 in a single calendar year. For the MMT Signature Credit Card, the 5x reward point’s condition applies to all subsequent purchases after the card owner has spent over ₹50,000 at MakeMyTrip in a single year. The quantum is 15 reward points for every ₹100 spent on the card. Aptly, this system is called ‘Turbo Rewards’."
What are the fine dining benefits on offer with these cards?,"Enjoy exclusive offers on dining, including 20% OFF at over 700 restaurants across selected cities in India. More information about the applicable cities can be availed from the HSBC India website."
What are the golf centric privileges on offer with the HSBC Premier MasterCard credit card?,Dedicated 24hrs golf concierge service | Discounts on the applicable golf-club membership fees | Complimentary green fees | Golfer’s insurance
What fuel related rebates are on offer with the HSBC Credit Cards?,"Complete waiver of the fuel surcharge, at any fuel station in India, provided the transaction costs anywhere between ₹400 and ₹4000, with a maximum spend of ₹250/month."
"After approval, how long will it take before I receive my credit card?","From the point of approval of your application, it takes upto 3 weeks before your credit card is dispatched to you. Meanwhile, HSBC credit card customer support can be contacted to enquire about the status of your application. Also, regular SMS alerts and emails from BankBazaar will keep you posted as well."
How can I keep myself updated about the offers/discounts applicable on my HSBC credit card?,"All these information is regularly updated to you via SMS, emails and other social medium. You can also visit the HSBC India website to check out the various time bound offers and discounts in circulation."
What is the minimum amount required to open an FD account for the IDFC First WOW Credit Card?,"To apply for IDFC First WOW Credit Card, you need to have an FD account for at least ₹5,000."
What is the renewal charge associated with IDFC First WOW Credit Card?,The bank charges zero renewal charge associated with IDFC First WOW Credit Card.
Is there any charge associated with cash withdrawal for IDFC First WOW Credit Card?,The bank charges ₹250 for cash withdrawal for IDFC First WOW Credit Card.
Which financial products/instruments can I buy using SAMCO?,"You can use Samco to invest or redeem your investments in publicly traded companies, global currencies, exchange-traded funds, bonds, and non-convertible debentures listed on Indian Exchanges. This is a list of over 5000 securities. You can also trade commodities listed on leading commodity exchanges in India."
How is SAMCO different from other brokers?,"SAMCO operates with the simple idea of using technology to radically change the way customers trade. We discard the excesses that existing traditional brokers use – such as legacy technology, hundreds of branches, and paper-based accounting and thereby reduce costs. The benefit of these cost reductions is passed back to you by way of a fixed lower brokerage. Our thought process allows us to not charge you on a percentage volume basis and without turnover or other monthly commitments."
"Why Does SAMCO ask for my PAN, birth date and other details while opening an Account?",SAMCO is bound by SEBI Regulations and Exchange Compliances which require us to complete the KYC i.e. Know – Your – Customer details which require the above details as mandatory fields.
Are there any annual charges I need to pay?,"There are no Annual Charges you need to pay for maintaining your Broking Account. However, you will need to pay an AMC of ₹400 + 18% GST = ₹472 per annum"
Am I eligible for Personal Loan?,"Eligibility Criteria for Loan application through One Tap Loan: You should be a minimum of 21 (Twenty-One) years of age | You are an Indian national who is a tax resident in India | You have a minimum CIBIL Score of 650 | You have a monthly Income or Salary Income of INR 25,000/- (Rupees Twenty-Five Thousand Only), being received in a Bank Account."
What documents are required for applying for a loan through One Tap platform?,PAN Number | Aadhaar Number (Duly linked with PAN & Mobile Number) | Income Proof – Last 03 month’s salary slips | Last 06 months bank statement of the account where the applicant's salary is getting credited (In E-PDF Format only).
How is the personal loan disbursed?,"Once you complete the stated process, the sanctioned loan amount (post deduction of upfront deductions) will be deposited automatically into your account. Please note that the remittance of funds shall only be in the salary account of the User."
What is Insurance MYGRID Portal?,MyGrid is a new and innovative platform that gives you complete visibility of your insurance  commissiYou will be able to. Through this portal you can see commissions from different insurers on the same page and compare and decide on the best available rates.
How to access MYGRID portal ?,Open mygrid.in on your phone/web browser and login with your mobile number
I want to report an issue with Mygrid portal,"Please report your issues by submitting this form. <a href=""https://docs.google.com/forms/d/e/1FAIpQLScOhUb7X32cQOqi-mN3ju9xJLGXxd8Y01Y31x6DKIfIpCGXRg/viewform "">Raise an Issue</a>"
What is zero liability for a lost credit card?,Zero liability lost card means that the cardholder will not held responsible for unauthorized transactions made with cardholders account.
Will I be charged if I use my card overseas?,"Since your card is valid for international transactions as well, there will be no extra charges levied for the usage at points of sale. However, charges relating to the currency conversions might apply. You will be charged a transaction fee for cash withdrawal at ATM abroad."
What will be the free credit period for HSBC Visa Platinum Credit Card?,"The free credit period for HSBC Visa Platinum Credit Card will up to 48 days. However, the free credit period is not valid if any balance of the previous month’s bill is outstanding."
How long does it take to receive this card?,"Once you submit your complete application form along with the other required documents, the application process will start within 2 weeks. Once you application is approved, you will receive your new credit card within the next 7 working days. You will receive timely notifications from the bank regarding your application."
Are there any charges for an Add-on Credit Card?,"No, when you apply for an Add-on Credit card with HSBC Visa Platinum Credit Card, you do not have to pay any charges."
Can I replaced with my Amazon Voucher with the voucher of any other brand?,"No, Amazon e-Gift voucher cannot be replaced, refunded or revalued. It cannot be exchanged for points or cash and cannot be re-validated."
What are Smart Investment Boxes (SIBs)?,"Smart Investment Boxes (SIBs) are Fabits’ expert-curated investment portfolios with a diverse set of asset classes, that match your needs and financial goals. Coupled with our AIAS (Advanced Investor Assistance System), SIBs aim to make investments stress-free and intuitive."
Why should you invest in SIBs?,"Diversification Each SIB consists of select mix of various asset classes - domestic equity, international markets, gold, and debt, in varying proportions based on your end-goals. Each basket is curated by financial experts using time-tested and proven investment strategies. Better Risk- Adjusted Returns SIBs are reviewed on a regular basis to keep track of ever-changing market conditions, and adjustments are made based on scientific research and data driven quantitative methodologies. The weightage of undervalued assets is increased while we bank gains from overvalued assets. This ensures a greater probability of riding the uptrend while cushioning against the dips. Low Cost Our SIBs comprise of low-cost instruments called Exchange Traded Funds. These are more effective investment vehicles than the more popular mutual funds. Learn more about ETFs."
What should I do if I lose my credit card?,"In such a case, you can contact the IndusInd Bank customer care executives so the bank executives can get your credit card blocked immediately. You can also block your credit card through the IndusInd net portal (IndusNet) or mobile app."
How can we contact the customer care of IndusInd Bank?,You can contact the customer care of IndusInd Bank for issues related to credit cards at 1860 267 7777.
Who can apply for this credit card?,"Indian citizens who are over 18 years of age but below 65 years of age can apply for this credit card. Also, customers must have a clean credit history."
Does IndusInd Bank Legend Credit Card offer lounge access?,"Yes, customers can avail free priority pass membership and 1 free visit per quarter with this credit card. Additionally, this card also gives Travel Plus membership along with 8 free visits."
Does this credit card offer a fuel surcharge waiver?,"Yes, you can avail a fuel surcharge waiver of 1% at all petrol pumps. However, this is applicable only on transactions between ₹400 to ₹4,000."
How to use the FIRST Power  Credit Card?,"You can use the FIRST Power like any other credit card. These cards get you extra savings on HPCL fuel & LPG payments, grocery & utility and other everyday expenses."
How to use the FIRST Power Credit Card?,"You can use the FIRST Power like any other credit card. These cards get you extra savings on HPCL fuel & LPG payments, grocery & utility and other everyday expenses."
How do I get the FIRST Power Credit Card?,"You can apply for the HPCL Fuel Credit Card on IDFC FIRST Bank website and Mobile Banking App or on HPCL website, online. You can also visit your nearby IDFC FIRST Bank branch and apply."
How many types of fuel credit cards can I apply for?,"The HPCL Fuel Credit Card has two variants – FIRST Power and FIRST Power+. You can opt for any one of these variants, depending on your needs."
How do I calculate Fuel Points earned by my spending?,"With the FIRST Power Credit Card, for every ₹150 spent, you earn 15X Reward Points on HPCL Fuel & LPG, Grocery & Utility and IDFC FASTag recharge and 2X Reward Points on other retail transactions, subject to terms & conditions.. With the FIRST Power+ Credit Card, for every ₹150 spent, you earn 24X Reward Points on HPCL Fuel & LPG, 30X Reward Points on Grocery & Utility and IDFC FASTag recharge and 3X Reward Points on other retail transactions, subject to terms & conditions. Additionally, on both these variants, you also earn 6 Payback Reward Points for every ₹100 fueling through HP Pay App."
How do I save on fueling through the HP Pay App?,"You need to register on HP Pay (App or Portal) first. You can upload the wallet on HP Pay using FIRST Power / FIRST Power+ credit card. You earn 3 Payback Rewards on loading the wallet and 3 Payback Rewards at the time of payment at the HP outlet. The Payback Rewards are capped at 300 points per month which is equivalent to fueling of ₹5,000 every month. You can check your Payback balance in HP Pay Mobile App itself. These rewards are not applicable if you directly make the fuel payment using HP Pay App without loading the wallet."
How and when do I get Cashback?,"Cashback gets credited to Swiggy money, within 10 days of your monthly statement date and can be accessed via the 'My Accounts' on the Swiggy App."
Where can I use Cashback?,"The cashback can be used to pay for your various food, grocery, dineout & genie orders on Swiggy. You can see your Swiggy money balance automatically while paying for an order or by visiting the Swiggy money section on the Swiggy app."
What category of Swiggy will I get the 10% of cashback on?,"You will get 10% cashback on these offerings by Swiggy: Food, Instamart, Dineout & Genie. The latest list of categories that the card supports cashback for will be updated by Swiggy."
What type of online spends  will I get 5% cashback on?,You will get 5% cashback on spends on the following: (i) E-commerce (ii) Electronics (iii) Entertainment (iv) Hobbies (v) Local cabs (vi) Department stores (vii) Home decor (viii) Medical (ix) Personal care (x) Discount stores. You can reach out to HDFC Bank at 1860 202 6161 for the most up to date list of exclusions.
How to log in to my HDFC Sky account?,Launch any browser on your computer. Ensure your system is connected to the internet and type: hdfcsky.com in the address bar. The webpage will open as below.
How do I add funds to my HDFC Sky account?,"Log in to your HDFC Sky account. Click on Funds from tabs at the top.You can add funds by clicking on Add Funds. Select the bank account number you want to draw funds from. Select the mode of transfer – whether UPI or Net Banking. Enter the amount you want to transfer. If you chose UPI, you may have to enter UPI virtual payment address (VPA).Click on Continue and you will be taken to the payment gateway. You can complete the transaction to add funds to your trading account."
How do I place delivery orders on HDFC Sky?,"Delivery orders, as the name suggests, are those where a buyer has to take delivery of shares while a seller has to deliver them. This product type is available for the cash segment. You need to have the full amount in your trading account to buy a stock for delivery. On the other hand, you need to have the stock in your demat account to sell the stock for delivery. Log in to the HDFC Sky portal. On the web portal, search for the stock you want to buy. Add that stock to the watchlist and hover your cursor over the stock’s name. Click on ‘B’ to buy or ‘S’ to sell. Customise your order on the pop-up window. By default, orders are for intraday trades, you need to select Delivery. Fill in order quantity, order type – whether market, limit, stop loss or stop loss market order, etc. Click on Buy. Your order will be sent to the exchange and processed when matched. The process to place a Sell order is similar."
Can I get a loan online with no credit check? Is it without a Cibil score?,"Yes, it is possible to get a loan online. We do offer loans to customers who are 1st-time borrowers which may be customers without CIBIL score as well if it meets our eligibility criteria."
How can I check the status of my loan application process?,"Once you complete the application process, you will be able to see the status. The Live status is updated in the app at any point. Loans get disbursed within 48 hours of the application being approved."
What is the maximum loan amount I can get?,One can get an online loan of up to ₹10 Lakhs
How can I repay my Finnable loan?,"Once your loan is sanctioned, all you have to do is grant customer authorization for the EMI amount to get directly debited from your bank account. That way, you  won't have to worry about forgetting your EMI payments."
What rate of interest will I be charged?,"Depending on your CIBIL score and monthly income, the interest charged on the loan will be between 1.3% to 2.3% per month on reducing balance method. As per  fixed method the rate of interest will be between 7% to 12% per annum"
What is the processing fee charged for the loan?,We charge a very nominal processing fee of 4% on the loan amount
How can I calculate EMI?,You can simply use the Personal Loan EMI calculator to calculate how much you would be paying each month.
Can I get an instant loan without documents?,"As an RBI regulated NBFC, we are required to follow the procedures which include getting KYC documents from our customer’s. So, it is mandatory to submit documents to get a loan online."
Is the Finnable instant loan app safe?,"Yes, extremely safe. Finnable is an RBI regulated NBFC"
Can I foreclose or prepay my active Finnable loan ?,"Yes, it is possible to foreclose or prepay an active Finnable loan. Foreclosing or prepaying means that one wishes to prepay the loan amount earlier than the loan tenure/period. This is allowed after 6 months of getting the loan.  "
Can I apply offline for an American Express Membership Rewards® Credit Card?,"No, you can only apply through the official website of American Express®. You are required to fill out an application form and submit it online along with required documents. After this, the bank will verify your details and process credit card requests."
Can I withdraw cash using my American Express Membership Rewards® Credit Card?,"Yes, you can withdraw cash using your American Express Membership Rewards® Credit Card. However, a cash advance fee of 3.5% will be charged for withdrawing cash. In addition to this, finance charges will start accruing until you pay off the withdrawn amount in full. Therefore, it is advisable not to withdraw cash using your credit card as it incur high charges."
How can I redeem my reward points earned via American Express Membership Rewards® Credit Card?,This credit card lets you earn Membership Rewards Points on your purchases. You can redeem the earned reward points against gift vouchers of top brands by logging in to your rewards account online. All you need to do is select a plan between 18 karat or 24 karat and redeem the reward points against the vouchers.
How can I report my lost or damaged American Express Membership Rewards® Credit Card?,"You must report to the customer care of American Express as soon as you notice the loss of your card. To do so, you can call on the 24-hour cardmember helpline number. Also, if your card is damaged, you can send a request for a replacement card simply by logging in to your American Express account."
How can I pay my American Express Membership Rewards® Credit Card bill?,"You can pay your credit card bill online through the facilities like NEFT and UPI. Apart from this, if you want to pay your bills offline, you are required to send a cheque or draft to the head office of American Express at Gurugram."
What should I do if my American Express Membership Rewards® Credit Card is declined for a transaction?,"Your card may be declined due to several reasons; the most common being insufficient credit limit. If you have enough for the purchase and it is still declined, you must contact the customer care of American Express to know the reason for such decline and get it fixed."
How can I apply for an American Express SmartEarn™ Credit Card?,"You can apply for this American Express credit card online through the official website of American Express. All you need to do is look for an eligible credit card, fill out an application form and submit the relevant documents. The bank will verify your details and process your request."
What are Membership Rewards Points earned via American Express SmartEarn™ Credit Card?,American Express SmartEarn™ Credit Card lets you earn Membership Rewards Points on your online as well as offline purchases. You can later redeem the earned reward points against gift vouchers or merchandise as per your requirements.
What is the forex markup fee charged by American Express SmartEarn™ Credit Card?,"American Express SmartEarn™ Credit Card charges a forex markup fee of 3.5% of the transacted amount. Therefore, this is not a suitable option for foreign currency transactions as it incurs high charges."
What is the interest-free period offered on American Express SmartEarn™ Credit Card?,"You can get an interest-free period of up to 48 days. However, the payment due date will vary from 18 to 23 days from the statement generation date, depending on the previous month’s payment behavior."
Does American Express SmartEarn™ Credit Card offer complimentary lounge access?,"No, this credit card does not offer any travel-related benefits. This is suitable only for shopping and rewards. If you are looking for a credit card that offers complimentary domestic as well as international lounge access.  "
Is investing globally legal?,"Yes, thanks to LRS! In 2004, Government of  India started the Liberalized Remittance Scheme (LRS) to enable Indians to send money abroad, so you can now transfer upto $2,50,000 per year."
What are the benefits for my clients?,"Your clients will get Improved value through access to high growth sectors and companies like Google and Amazon, reduction of country-risk, and USD currency appreciation of 3-4% per year. Access to rich features such as global news and research, AI-based recommendations"
How is Appreciate different?,"1. User centric seamless UI/UX designed by India's top designers enabling deep personalization for customers
2. Feature rich for all customers including global news and research, charts, analyst reports, etc.
3. Powered by AI/ML across the app for improved customer outcome and experience
4. Built by a globally experienced founding team with the help of seasoned advisors and partners
5. Driven by a societal mission to improve financial literacy of millions of Indians"
Are there any charges?,"Appreciate has Zero account opening and subscription fees. We offer simple, low, transparent fees by product between 0.25% - 0.75%"
What is the minimum investment required by the customers for us to earn trade commission?,Customers need to invest minimum ₹1000.
What is Hey Torus?,"Hey Torus is a Neo Wellness Platform that offers multiple products across Wealth, Health, Career and Lifestyle Wellness. The app opens up multiple product possibilities with one-time onboarding. 
It offers curated investment options to help achieve a state of financial well-being, varied health products with incomparable discounts, and in-demand upskilling options, along with an exclusive job portal."
What are the benefits of opening demat account with Hey Torus.,"The app offers various benefits such as zero brokerage, goal-based robo investment advisory, individual and stock-basket ideas, range of medicines, nutraceuticals, lab tests and specialised doctor consultations, and certified courses and job opportunities."
What is the time taken to open a Hey Torus Demat Account?,You can complete the trading account opening process in less than 15 minutes. Account activation can take 1-3 days.
What are the documents needed to open a Demat Account?,Documents required:<br>1. Aadhaar Card<br>2. PAN card<br>3. KYC details
What are Neobanks?,A Neobank is a financial tech firm that usually partners with a bank to provide federally insured bank accounts. Neobanks tend to have lower fees and more competitive rates than traditional banks.
What are Neobanks?,A Neobank is a financial tech firm that usually partners with a bank to provide federally insured bank accounts. Neobanks tend to have lower fees and more competitive rates than traditional banks.
What are Neobanks?,A Neobank is a financial tech firm that usually partners with a bank to provide federally insured bank accounts. Neobanks tend to have lower fees and more competitive rates than traditional banks.
What is loan against Mutual Funds?,"Loan against mutual funds (LAMF) allows you to borrow cash against your mutual fund investments as collateral. You can use Volt Money to lien mark your mutual funds digitally to avail an instant limit without losing the ownership of your mutual funds and all the associated benefits with it. Funds will be made available in the form of an overdraft facility. You can utilize the required amount and repay anytime without any prepayment charges. Interest is charged only on the utilized amount and for the duration the funds are utilized. You can select from a list of 4500+ approved mutual funds from different asset management companies (AMCs) in India. You can lien mark mutual funds registered with both CAMS & KFintech, Registrars & Transfer Agents (RTAs). We recommend digital loan against mutual funds to meet any of your financial requirements like travel, gadget purchase, balance transfer for your high interest loans, medical emergency."
Can I choose any date for my monthly loan repayment?,"Yes, you have the freedom to choose when you want to repay. The loan against mutual funds credit line facility provides 100% flexibility for principal repayment in. After the month ends, only the interest needs to be repaid."
What are the documents required?,"The entire process is 100% digital, so there is no requirement for any physical documents for loan against mutual funds. To ensure a smooth and quick processing, please have the following information handy:
PAN card number
Email ID associated with CAMS and KFintech (for mutual fund verification)
Bank account details for account verification and receiving the loan amount
Debit card or net banking details for setting up the mandate."
What is lien marking/pledging of Mutual Funds?,"When you opt for a loan against your mutual fund units, Volt Money digitally lien mark/pledge your mutual fund units in the favor of the lender. This ensures that the units cannot be redeemed or sold until the loan amount is repaid. The lien marking process is conducted entirely digitally and in real-time for loan against mutual funds."
Can I lien mark any mutual fund units of my choice?,Volt Money offers complete flexibility when it comes to choosing the mutual fund units you want to lien mark for setting up the loan limit. You have the freedom to change the schemes and units according to your preferences and create your own allocation for lien marking.
When will my funds be unlienmarked?,"You have the flexibility to request the removal of lien from your mutual fund units at any time, provided there is no pending loan amount against them. Depending on your current loan amount and utilization, you can choose to remove the lien from specific mutual fund units or from all the units you have pledged."
How many subscription models are there?,"Currently Uni paychek offers two plans for user to use, giving user flexibility to choose at time of onboarding:<br>Plan 1 - 15 Day Paychek - Free<br>Plan 2 - 30 Day Paychek - ₹1999 Non-Refundable Subscription Fee for 12 months"
For how long do we get the Paychek?,"Paychek is credited continuously for 12 months, however it can be paused."
When is the money credited?,All newly onboarded customers will get First Instant Disbursal. Post this user get Paychek in Bank account on specific date there onwards.
Is there any eligibility?,"Yes, kindly check in the 'Whom to Sell' Section."
Why should I subscribe to Stoxbox protips service?,"Because we provide the best of research trading calls, research reports, high-quality ready-made portfolios, a slick mobile trading application. All under simple subscription plans."
